This sheet contains cases where the normalization of dc:language is being done by a match between the value of dc:language and the codes and labels of one or more langauages in NAL. ,,,,,,,,,,,,,,,,,
"Table columns:
 - 'dc:language value': The value in the source metadata that was normalized. 
 - 'automatic normalization result': the language that the normalization algorithm matched to the dc:language value (may be more than one) 
 - 'is correct': the annotator indicates here if the result of the columns 'automatic normalization result' is correct, incorrect, or he cannot be sure.
 - 'manual normalization by annotator': if the automatic normalization is incorrect, the annotator may indicate here what is the correct matching language(s)
 - 'Examples': Links to records in the Europeana portal that contain this normalization case. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dc:language value,automatic normalization result,,,is correct?,manual normalization by annotator,,,Examples,,,,,,,,,
"Hungarian, German",hun(Hungarian),deu(German),,y,,,,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6206,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6203,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6205,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6202,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6208,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6212,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6215,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6214,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6216,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6220
"Hungarian, Italian",hun(Hungarian),ita(Italian),,y,,,,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6285,,,,,,,,,
"Hungarian,Italian",hun(Hungarian),ita(Italian),,y,,,,http://data.europeana.eu/item/2048009/Athena_Plus_ProvidedCHO_Museum_of_Fine_Arts___Hungarian_National_Gallery__Budapest_6145,,,,,,,,,
Hungarian;German,hun(Hungarian),deu(German),,y,,,,http://data.europeana.eu/item/09329/7D415DCBB03CFE80781B6CEFD2428B68359941B7,http://data.europeana.eu/item/09329/075B5C79016ABFA18058A07CDA97C69D260F6842,http://data.europeana.eu/item/09329/9636BEFF7193F530C33BAFB9B95E56BEFF87283B,http://data.europeana.eu/item/09329/A6449B0A2DD314572C79422AEA8DDE1C5A27EEE8,http://data.europeana.eu/item/09329/E12374E3169A9252EC435E472C30D60507B17306,http://data.europeana.eu/item/09329/3203253B52D1AEA66E6982A42CC568DDEB558D12,http://data.europeana.eu/item/09329/0E9D22FF0A50A0A6CB0549810CC190616E67A391,http://data.europeana.eu/item/09329/F2478E361A81F99EAAA5502FB2DADACBDDCB8745,http://data.europeana.eu/item/09329/BFBC1BE665C8F7A47E501153C24C0AB6244E3EB9,http://data.europeana.eu/item/09329/528A93918350B9C507664C44635583FE29FB9584
Hungarian;German;Hebrew,hun(Hungarian),heb(Hebrew),deu(German),y,,,,http://data.europeana.eu/item/09329/7DB76A20239DF4EA26D02B3B1E725AB8F42B4034,http://data.europeana.eu/item/09329/FCA8E6CB59310BED90802D04F8D497FB17673E25,http://data.europeana.eu/item/09329/F384D8B9146F609951699AB83906B0F0B86A69A6,http://data.europeana.eu/item/09329/F07E0479C2E0E9C7B42328037B2F978DE22597AD,http://data.europeana.eu/item/09329/D9032987A14448731C049A5244CB0E54CE52D532,http://data.europeana.eu/item/09329/1D978362D3403A1008C0F2A4795366A6E1D5A890,,,,
INDONÉSIEN/FRANCAIS,fra(French),ind(Indonesian),,y,,,,http://data.europeana.eu/item/2059208/archives_items_33897_,,,,,,,,,
IT/DE,deu(German),ita(Italian),,y,,,,http://data.europeana.eu/item/2058606/object_FRS_9691192,,,,,,,,,
"ITA, ITA",ita(Italian),,,y,,,,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_14871,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_16920,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_21737,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_36458,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_36486,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_39977,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_48407,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_7095,,
"ITA, LAT",ita(Italian),lat(Latin),,y,,,,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_12041,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_12050,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_12052,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_12057,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_12073,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_12065,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_13485,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_13492,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_14342,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_14340
"ITA, TUR",tur(Turkish),ita(Italian),,y,,,,http://data.europeana.eu/item/2023813/Generale_ricerca_AnteprimaManoscritto_html_codiceMan_47591,,,,,,,,,
