This sheet contains cases where the normalization of dc:language is being done by a match between the value of dc:language and a non-ambigouos language label in NAL. ,,,,,,,,,,,,,,,,,
"Table columns:
 - 'dc:language value': The value in the source metadata that was normalized. 
 - 'automatic normalization result': the language that the normalization algorithm matched to the dc:language value (may be more than one) 
 - 'is correct': the annotator indicates here if the result of the columns 'automatic normalization result' is correct, incorrect, or he cannot be sure.
 - 'manual normalization by annotator': if the automatic normalization is incorrect, the annotator may indicate here what is the correct matching language(s)
 - 'Examples': Links to records in the Europeana portal that contain this normalization case. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dc:language value,automatic normalization result,,,is correct?,manual normalization by annotator,,,Examples,,,,,,,,,
Wolof,wol(Wolof),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_29443_,http://data.europeana.eu/item/2059208/archives_items_29444_,http://data.europeana.eu/item/2059208/archives_items_29445_,http://data.europeana.eu/item/2059208/archives_items_29447_,http://data.europeana.eu/item/2059208/archives_items_29446_,http://data.europeana.eu/item/2059208/archives_items_29448_,http://data.europeana.eu/item/2059208/archives_items_29449_,http://data.europeana.eu/item/2059208/archives_items_29450_,http://data.europeana.eu/item/2059208/archives_items_3403_,http://data.europeana.eu/item/2059208/archives_items_38587_
Wára,wbf(Wara),tci(Wára),,?,wbf(Wara),tci(Wára),pnl(Paleni),http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_001E_167C_D,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_001E_167E_9,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_001E_1680_A,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_001E_167D_B,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_001E_167F_8,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_001E_1681_D,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_001E_1683_C,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_001E_1684_A,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_001E_1682_0,http://data.europeana.eu/item/2059205/data_sounds_hdl_1839_00_0000_0000_001E_1685_F
Xhosa,xho(Xhosa),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_37040_,http://data.europeana.eu/item/2059209/data_sounds_C1583X1X024X_0004,http://data.europeana.eu/item/2059209/data_sounds_C1583X1X116X_0002,http://data.europeana.eu/item/2059209/data_sounds_C1583X4X698X_0003,,,,,,
Yakut,sah(Yakut),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_51463_,http://data.europeana.eu/item/2059208/archives_items_51461_,http://data.europeana.eu/item/2059208/archives_items_51462_,http://data.europeana.eu/item/2059208/archives_items_51464_,,,,,,
Yawalapiti,yaw(Yawalapití),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_53721_,http://data.europeana.eu/item/2059208/archives_items_53719_,http://data.europeana.eu/item/2059208/archives_items_53722_,http://data.europeana.eu/item/2059208/archives_items_53723_,,,,,,
Yawalapití,yaw(Yawalapití),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_53721_,http://data.europeana.eu/item/2059208/archives_items_53719_,http://data.europeana.eu/item/2059208/archives_items_53722_,http://data.europeana.eu/item/2059208/archives_items_53723_,http://data.europeana.eu/item/2059208/archives_items_53745_,,,,,
Yiddish,yid(Yiddish),,,y,,,,http://data.europeana.eu/item/08701/6E50E38F14701474E0AE44CE759BAA58F40CDBDC,http://data.europeana.eu/item/08701/329AE4F1CB2CC1E80BB8AF3F827E8C1EEBE1DA75,,,,,,,,
Yoruba,yor(Yoruba),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_38594_,http://data.europeana.eu/item/2059208/archives_items_39306_,http://data.europeana.eu/item/2059209/data_sounds_1CS0043345XX_0200,http://data.europeana.eu/item/2059209/data_sounds_1CS0043344XX_0200,http://data.europeana.eu/item/2059209/data_sounds_1CS0043344XX_0100,http://data.europeana.eu/item/2059209/data_sounds_1CS0043345XX_0100,http://data.europeana.eu/item/2059209/data_sounds_1CS0043346XX_0200,http://data.europeana.eu/item/2059209/data_sounds_1CS0043346XX_0100,http://data.europeana.eu/item/2059209/data_sounds_1CS0043347XX_0100,http://data.europeana.eu/item/2059209/data_sounds_1CS0043347XX_0200
Zande (individual language),zne(Zande (individual language)),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_16230_,,,,,,,,,
Zaza,zza(Zaza),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_37513_,http://data.europeana.eu/item/2059208/archives_items_37514_,,,,,,,,
afar,aar(Afar),,,y,,,,http://data.europeana.eu/item/2059219/data_sounds_ark__12148_cb421130972,,,,,,,,,
afrikaans,afr(Afrikaans),,,y,,,,http://data.europeana.eu/item/2059219/data_sounds_ark__12148_cb41329717c,,,,,,,,,
albán,sqi(Albanian),,,y,,,,http://data.europeana.eu/item/2051912/data_euscreenXL_2147708,,,,,,,,,
allemand,deu(German),,,y,,,,http://data.europeana.eu/item/91401/oai_cimu_aloes_0095833,http://data.europeana.eu/item/91401/oai_cimu_aloes_0095836,http://data.europeana.eu/item/91401/oai_cimu_aloes_0097447,http://data.europeana.eu/item/91401/oai_cimu_aloes_0095827,http://data.europeana.eu/item/91401/oai_cimu_aloes_0098028,http://data.europeana.eu/item/91401/oai_cimu_aloes_0116078,http://data.europeana.eu/item/91401/oai_cimu_aloes_0119022,http://data.europeana.eu/item/91401/oai_cimu_aloes_0119593,http://data.europeana.eu/item/91401/oai_cimu_aloes_0120475,http://data.europeana.eu/item/91401/oai_cimu_aloes_0120943
angielski,eng(English),,,y,,,,http://data.europeana.eu/item/2025902/_E1989_POZ020,http://data.europeana.eu/item/2025902/_E1989_waw223,http://data.europeana.eu/item/2025902/_E1989_waw224,,,,,,,
anglais,eng(English),,,y,,,,http://data.europeana.eu/item/91401/oai_cimu_aloes_0102375,http://data.europeana.eu/item/91401/oai_cimu_aloes_0103012,http://data.europeana.eu/item/91401/oai_cimu_aloes_0120947,http://data.europeana.eu/item/91401/oai_cimu_aloes_0122837,http://data.europeana.eu/item/91401/oai_cimu_aloes_0783856,http://data.europeana.eu/item/91401/oai_cimu_aloes_0783578,http://data.europeana.eu/item/9200365/BibliographicResource_1000054844263,http://data.europeana.eu/item/9200365/BibliographicResource_1000054850818,http://data.europeana.eu/item/9200365/BibliographicResource_1000054855031,http://data.europeana.eu/item/9200365/BibliographicResource_1000054861160
angličtina,eng(English),,,y,,,,http://data.europeana.eu/item/2025906/_E1989_PLZ047,,,,,,,,,
anglų kalba,eng(English),,,y,,,,http://data.europeana.eu/item/2025903/_E1989_VIL007,,,,,,,,,
angol,eng(English),,,y,,,,http://data.europeana.eu/item/2051912/data_euscreenXL_1000270,http://data.europeana.eu/item/2051912/data_euscreenXL_1002812,http://data.europeana.eu/item/2051912/data_euscreenXL_1003088,http://data.europeana.eu/item/2051912/data_euscreenXL_1003092,http://data.europeana.eu/item/2051912/data_euscreenXL_1003138,http://data.europeana.eu/item/2051912/data_euscreenXL_1004956,http://data.europeana.eu/item/2051912/data_euscreenXL_1006580,http://data.europeana.eu/item/2051912/data_euscreenXL_1009774,http://data.europeana.eu/item/2051912/data_euscreenXL_1010164,http://data.europeana.eu/item/2051912/data_euscreenXL_1010292
arab,ara(Arabic),,,y,,,,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_19608,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_28477,http://data.europeana.eu/item/9200332/BibliographicResource_3000095364084,http://data.europeana.eu/item/9200332/BibliographicResource_3000095369086,http://data.europeana.eu/item/9200332/BibliographicResource_3000095374854,http://data.europeana.eu/item/9200332/BibliographicResource_3000095376159,http://data.europeana.eu/item/9200332/BibliographicResource_3000095382944,http://data.europeana.eu/item/9200332/BibliographicResource_3000095390857,http://data.europeana.eu/item/9200332/BibliographicResource_3000095412922,http://data.europeana.eu/item/9200332/BibliographicResource_3000095429030
arabe,ara(Arabic),,,y,,,,http://data.europeana.eu/item/9200365/BibliographicResource_1000054948512,http://data.europeana.eu/item/9200365/BibliographicResource_1000055516504,http://data.europeana.eu/item/9200365/BibliographicResource_3000094947867,http://data.europeana.eu/item/9200365/BibliographicResource_3000094947872,http://data.europeana.eu/item/9200365/BibliographicResource_3000094947876,http://data.europeana.eu/item/9200365/BibliographicResource_3000094947954,http://data.europeana.eu/item/9200365/BibliographicResource_3000095901651,http://data.europeana.eu/item/9200365/BibliographicResource_3000116157349,http://data.europeana.eu/item/9200365/BibliographicResource_3000134101206,http://data.europeana.eu/item/9200365/BibliographicResource_3000134101556
arabski,ara(Arabic),,,y,,,,http://data.europeana.eu/item/09404/id_oai_www_bibliotekacyfrowa_pl_36289,http://data.europeana.eu/item/09404/id_oai_www_bibliotekacyfrowa_pl_42225,,,,,,,,
armen,hye(Armenian),,,y,,,,http://data.europeana.eu/item/9200332/BibliographicResource_3000095344689,http://data.europeana.eu/item/9200332/BibliographicResource_3000095390882,http://data.europeana.eu/item/9200332/BibliographicResource_3000095426706,,,,,,,
arménien,hye(Armenian),,,y,,,,http://data.europeana.eu/item/9200365/BibliographicResource_1000055045976,http://data.europeana.eu/item/9200365/BibliographicResource_1000055046032,http://data.europeana.eu/item/9200365/BibliographicResource_1000055046044,http://data.europeana.eu/item/9200365/BibliographicResource_1000055046047,http://data.europeana.eu/item/9200365/BibliographicResource_1000055046150,http://data.europeana.eu/item/9200365/BibliographicResource_1000055046379,http://data.europeana.eu/item/9200365/BibliographicResource_1000055046431,http://data.europeana.eu/item/9200365/BibliographicResource_1000055046503,http://data.europeana.eu/item/9200365/BibliographicResource_1000055046660,http://data.europeana.eu/item/9200365/BibliographicResource_1000055046718
azeri,aze(Azerbaijani),,,y,,,,http://data.europeana.eu/item/2059208/archives_items_39499_,,,,,,,,,
azéri,aze(Azerbaijani),,,y,,,,http://data.europeana.eu/item/2059219/data_sounds_ark__12148_cb40205798h,,,,,,,,,
