This sheet contains cases where the normalization of dc:language is being done by a match between the value of dc:language and the codes and labels of one or more langauages in NAL. ,,,,,,,,,,,,,,,,,
"Table columns:
 - 'dc:language value': The value in the source metadata that was normalized. 
 - 'automatic normalization result': the language that the normalization algorithm matched to the dc:language value (may be more than one) 
 - 'is correct': the annotator indicates here if the result of the columns 'automatic normalization result' is correct, incorrect, or he cannot be sure.
 - 'manual normalization by annotator': if the automatic normalization is incorrect, the annotator may indicate here what is the correct matching language(s)
 - 'Examples': Links to records in the Europeana portal that contain this normalization case. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dc:language value,automatic normalization result,,,is correct?,manual normalization by annotator,,,Examples,,,,,,,,,
Türkçe-Farsça-Arapça,tur(Turkish),ara(Arabic),fas(Persian),y,,,,http://data.europeana.eu/item/2021201/BAC217FA5ADFD04AEA8F67826CB1E0CCDACB75CA,,,,,,,,,
WOLOF/ ARABE,ara(Arabic),wol(Wolof),,y,,,,http://data.europeana.eu/item/2059208/archives_items_2107_,http://data.europeana.eu/item/2059208/archives_items_2109_,,,,,,,,
[ger],deu(German),,,y,,,,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_34490,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_34491,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_34493,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_34495,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_34522,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_34521,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_34524,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_34523,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_34527,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_34530
[pol,pol(Polish),,,y,,,,http://data.europeana.eu/item/09404/id_oai_cyfrowa_chbp_chelm_pl_9700,,,,,,,,,
[pol],pol(Polish),,,y,,,,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_51150,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_51245,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_51242,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_51243,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_51246,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_51250,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_51244,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_51249,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_51254,http://data.europeana.eu/item/09404/id_oai_www_sbc_org_pl_51252
"af
 Afrikaans",afr(Afrikaans),,,y,,,,http://data.europeana.eu/item/9200106/8F8D3BC2825C0CCE9D4DA3C80147BBF2BC0D3BF2,http://data.europeana.eu/item/9200106/B3DABA69143D80E001846F754A35E954901ACA51,,,,,,,,
ang ; eng,ang(Old English (ca. 450-1100)),eng(English),,y,,,,http://data.europeana.eu/item/9200397/BibliographicResource_3000126256933,http://data.europeana.eu/item/9200397/BibliographicResource_3000126256934,,,,,,,,
ang ; lat,ang(Old English (ca. 450-1100)),lat(Latin),,y,,,,http://data.europeana.eu/item/9200397/BibliographicResource_3000126257500,http://data.europeana.eu/item/9200397/BibliographicResource_3000126282645,,,,,,,,
"ar
 Arabic",ara(Arabic),,,y,,,,http://data.europeana.eu/item/9200106/09A3037CB31C37BD97D955E7804A5F0F28C73775,http://data.europeana.eu/item/9200106/BD0E18FE46D432AECE5ACCDB73DA6C4E08BD4DF0,http://data.europeana.eu/item/9200106/783C7EC6B974C633B65DA1209A5E2E3B95C79AFA,http://data.europeana.eu/item/9200106/8BC7E771C8947BE314D93C1A9FEB6DEF1F974D1E,http://data.europeana.eu/item/9200106/622CC91F4A81117BF49689904D2A0AC3BC29CF24,http://data.europeana.eu/item/9200106/77FAB20FC19AFDBD32E04A734B925A8F83DF4F50,http://data.europeana.eu/item/9200106/4906853125ED9D8B69ED6F008F70198A6CAD100D,http://data.europeana.eu/item/9200106/5C2C7E8282ADD688B1A5AF3CDE3822A31923794C,http://data.europeana.eu/item/9200106/F2681D3E068B61B6E20BAC8D64D3A882F40AC413,http://data.europeana.eu/item/9200106/4B2D7940AB4829CB83ACCABD48D3B99E5FACDF09
ara ; lat,ara(Arabic),lat(Latin),,y,,,,http://data.europeana.eu/item/9200397/BibliographicResource_3000126258839,,,,,,,,,
