This sheet contains cases where the normalization of dc:language is being done by a match between the value of dc:language and the codes and labels of one or more langauages in NAL. ,,,,,,,,,,,,,,,,,
"Table columns:
 - 'dc:language value': The value in the source metadata that was normalized. 
 - 'automatic normalization result': the language that the normalization algorithm matched to the dc:language value (may be more than one) 
 - 'is correct': the annotator indicates here if the result of the columns 'automatic normalization result' is correct, incorrect, or he cannot be sure.
 - 'manual normalization by annotator': if the automatic normalization is incorrect, the annotator may indicate here what is the correct matching language(s)
 - 'Examples': Links to records in the Europeana portal that contain this normalization case. ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
dc:language value,automatic normalization result,,,is correct?,manual normalization by annotator,,,Examples,,,,,,,,,
Czech Slovak,ces(Czech),slk(Slovak),,y,,,,http://data.europeana.eu/item/09213/EUS_3C4597377D1D4DB18B85284637E34811,http://data.europeana.eu/item/09213/EUS_410055E182A24645A91F704EAE58528C,http://data.europeana.eu/item/09213/EUS_4750870C7DCF4039BDBA6F397A8199EC,http://data.europeana.eu/item/09213/EUS_47776856A8824FD290F533DE32F1C0DB,http://data.europeana.eu/item/09213/EUS_0E9B96D23B0F4B038552E314F1C4ADCF,http://data.europeana.eu/item/09213/EUS_1734D56C47674C45BC05CECCACAC6BF9,http://data.europeana.eu/item/09213/EUS_1C8B5222D1E94F36B6F121BDDEBD3F52,http://data.europeana.eu/item/09213/EUS_1F483079FA50487A98BCA01A8D77A329,http://data.europeana.eu/item/09213/EUS_28A5EC43C87545DBA3EEC62EC238FEED,http://data.europeana.eu/item/09213/EUS_73D8C74902C84F98B26E20A615BE4D21
"Czech, Serbian",ces(Czech),srp(Serbian),,y,,,,http://data.europeana.eu/item/2020601/attachments_89245_9561_89245_original_89245_pdf,,,,,,,,,
Danish Czech,dan(Danish),ces(Czech),,y,,,,http://data.europeana.eu/item/09221/EUS_AAF6577496364081BA45751C8F601D75,,,,,,,,,
Danish German,dan(Danish),deu(German),,y,,,,http://data.europeana.eu/item/09221/EUS_CFE74FBAEEC2450281FB53FDF85B34A8,,,,,,,,,
Danish Norwegian Swedish,dan(Danish),nor(Norwegian),swe(Swedish),y,,,,http://data.europeana.eu/item/09210/EUS_B86E1CF22088415CBA346CE53C33A04E,,,,,,,,,
Danish Swedish,dan(Danish),swe(Swedish),,y,,,,http://data.europeana.eu/item/09210/EUS_3E3D53CA002C4BB3945C909FAD784E54,http://data.europeana.eu/item/09210/EUS_84F75440DB3043D6892146912C5E5E94,http://data.europeana.eu/item/09210/EUS_9A16D097F47644A9B3C070CC36801D2B,http://data.europeana.eu/item/09210/EUS_C13014D1C6DC4473967AA42B7F3F0AA3,http://data.europeana.eu/item/09210/EUS_C455F51F1AA947E98EE01F95AEBDBE99,http://data.europeana.eu/item/09210/EUS_EF8F9CBF61D94310B69BC5A98F466C1C,,,,
Danish Swedish Norwegian,dan(Danish),swe(Swedish),nor(Norwegian),y,,,,http://data.europeana.eu/item/09210/EUS_DFB04D7AFFE94D9FBC21E7ED030A79A7,,,,,,,,,
Deutsch+Französisch,fra(French),deu(German),,y,,,,http://data.europeana.eu/item/00902/13518391_119_00072_00000530_13509CBA,,,,,,,,,
Dutch; Flemish,nld(Dutch),vls(Flemish),,y,,,,http://data.europeana.eu/item/9200132/E3B340D1C802A9E9139D04C88BED8E43688F5C91,http://data.europeana.eu/item/9200132/7A458052B9BD23B24CAEFC790E72DDA0A3B76277,http://data.europeana.eu/item/9200132/AD712A9D1FD76378CDCA4B91CB286B91E3C7CDB0,http://data.europeana.eu/item/09209/EUS_0C1BBC2959874C41BD1DC68FF716204E,http://data.europeana.eu/item/09209/EUS_0C2106E4028D4EE9AC2A518233D0FB89,http://data.europeana.eu/item/09209/EUS_0C1493252A364107B7F5A214F52C9EF8,http://data.europeana.eu/item/09209/EUS_0CA62929DC0A4CF69BCE6450E87D4792,http://data.europeana.eu/item/09209/EUS_0C5F964B1E5748FD8EE391FADE203570,http://data.europeana.eu/item/09209/EUS_0CA2A13AF739494ABC8B32332187548B,http://data.europeana.eu/item/09209/EUS_0C804C11D2E84AACBA3ABCFD9DCB917D
Dutch; Flemish German,deu(German),nld(Dutch),vls(Flemish),y,,,,http://data.europeana.eu/item/09209/EUS_FDA8C7A8570746AD91AB3429BECB6B37,,,,,,,,,
Dutch; Flemish Hindi,nld(Dutch),vls(Flemish),hin(Hindi),y,,,,http://data.europeana.eu/item/09209/EUS_03B9F1858B634AFCAA66F2B26DEDDEE7,http://data.europeana.eu/item/09209/EUS_ED208BC962E44A88BF51276865CFDDA7,,,,,,,,
Dutch; Flemish Russian,rus(Russian),nld(Dutch),vls(Flemish),y,,,,http://data.europeana.eu/item/09209/EUS_E6D68095CC204EA09EFBD2CC484DD0F3,,,,,,,,,
